County,Early_Adopters,Recent_Adopters,Growth_Percent
Columbia,1,11,1100.00
"Pend Oreille",3,27,900.00
King,6927,43624,629.77
Skamania,14,82,585.71
Kittitas,48,271,564.58
Snohomish,1738,9505,546.89
Wahkiakum,5,27,540.00
Okanogan,21,113,538.10
Fairfax,1,5,500.00
Klickitat,27,134,496.30
Cowlitz,81,398,491.36
Clark,992,4718,475.60
Pierce,1303,6181,474.37
Chelan,100,435,435.00
Yakima,100,421,421.00
Whitman,31,130,419.35
Benton,225,939,417.33
Spokane,469,1919,409.17
Riverside,1,4,400.00
"Walla Walla",47,187,397.87
Stevens,22,86,390.91
Franklin,65,249,383.08
Thurston,668,2553,382.19
Kitsap,641,2421,377.69
Pacific,22,83,377.27
Ferry,4,15,375.00
Island,226,788,348.67
Skagit,233,804,345.06
Douglas,43,148,344.19
Lewis,82,272,331.71
Grant,71,231,325.35
Mason,98,312,318.37
Maricopa,2,6,300.00
Adams,8,24,300.00
"El Paso",1,3,300.00
Norfolk,1,3,300.00
Clallam,148,397,268.24
"San Diego",5,13,260.00
Asotin,12,31,258.33
Whatcom,668,1596,238.92
"Grays Harbor",96,219,228.13
Jefferson,163,363,222.70
"San Bernardino",1,2,200.00
Unknown,1,2,200.00
Lincoln,8,15,187.50
"New London",2,3,150.00
"San Juan",211,286,135.55
"Prince George's",1,1,100.00
Richmond,1,1,100.00
Plaquemines,1,1,100.00
Frederick,1,1,100.00
"Los Angeles",3,2,66.67
Kings,2,1,50.00
Kern,1,0,0.00
"Salt Lake",1,0,0.00
Portsmouth,1,0,0.00
Hawaii,1,0,0.00
Multnomah,1,0,0.00
Dekalb,1,0,0.00
Carroll,1,0,0.00
"Cape May",1,0,0.00
Newport,1,0,0.00
"New Haven",1,0,0.00
Marin,0,1,NULL
Garfield,0,1,NULL
Lake,0,1,NULL
Leavenworth,0,1,NULL
Stafford,0,1,NULL
Loudoun,0,2,NULL
Sarpy,0,1,NULL
"District Of Columbia",0,4,NULL
"Anne Arundel",0,9,NULL
Galveston,0,0,NULL
"Virginia Beach",0,1,NULL
"Contra Costa",0,1,NULL
"St. Mary's",0,0,NULL
Ventura,0,3,NULL
Rockdale,0,1,NULL
Cook,0,2,NULL
Chesapeake,0,2,NULL
Moore,0,0,NULL
"St. Clair",0,1,NULL
Beaufort,0,1,NULL
Ray,0,0,NULL
Solano,0,5,NULL
Monterey,0,1,NULL
Pulaski,0,2,NULL
Cumberland,0,2,NULL
Hillsborough,0,1,NULL
Howard,0,0,NULL
Orange,0,4,NULL
"Santa Clara",0,5,NULL
Burlington,0,2,NULL
Kootenai,0,1,NULL
Washington,0,2,NULL
Honolulu,0,2,NULL
Montgomery,0,6,NULL
Charleston,0,2,NULL
Alameda,0,2,NULL
Emmet,0,1,NULL
Sacramento,0,4,NULL
Houston,0,0,NULL
Bexar,0,3,NULL
Kent,0,1,NULL
"Las Animas",0,1,NULL
Sonoma,0,0,NULL
Yavapai,0,0,NULL
"Newport News",0,0,NULL
Hamilton,0,2,NULL
Broward,0,1,NULL
"Doña Ana",0,1,NULL
Laramie,0,1,NULL
Geary,0,1,NULL
Sumter,0,1,NULL
Jackson,0,0,NULL
Larimer,0,0,NULL
Oldham,0,0,NULL
Platte,0,1,NULL
Goochland,0,1,NULL
Lee,0,0,NULL
Wayne,0,1,NULL
Harrison,0,1,NULL
Denton,0,1,NULL
Alexandria,0,5,NULL
Sarasota,0,0,NULL
Wichita,0,0,NULL
Harnett,0,2,NULL
Vernon,0,1,NULL
Calvert,0,1,NULL
Collin,0,1,NULL
Dorchester,0,1,NULL
Hoke,0,1,NULL
Dallas,0,1,NULL
Madison,0,0,NULL
Allen,0,0,NULL
Saratoga,0,1,NULL
"Santa Cruz",0,0,NULL
Randolph,0,0,NULL
Bell,0,1,NULL
Arapahoe,0,2,NULL
Charles,0,1,NULL
Gwinnett,0,1,NULL
Kauai,0,1,NULL
Onslow,0,1,NULL
Polk,0,1,NULL
"Fairbanks North Star",0,0,NULL
Middlesex,0,2,NULL
Coryell,0,1,NULL
Berkeley,0,0,NULL
Boulder,0,1,NULL
Yellowstone,0,1,NULL
"St. Louis",0,1,NULL
Rockingham,0,1,NULL
Hidalgo,0,1,NULL
"Rock Island",0,0,NULL
"St. Tammany",0,1,NULL
Sheridan,0,1,NULL
Essex,0,2,NULL
Placer,0,0,NULL
Lane,0,1,NULL
Suffolk,0,0,NULL
Tarrant,0,0,NULL
"Santa Barbara",0,1,NULL
Elmore,0,1,NULL
Napa,0,0,NULL
"San Mateo",0,1,NULL
Camden,0,0,NULL
Hennepin,0,0,NULL
Arlington,0,1,NULL
Nassau,0,0,NULL
