City,State,Total_EV,Avg_Latitude,Avg_Longitude
Seattle,WA,23489,47.62839,-122.33682
Bellevue,WA,6959,47.60125,-122.16396
Redmond,WA,4965,47.68336,-122.09688
Vancouver,WA,4819,45.6577,-122.59674
Kirkland,WA,4201,47.69315,-122.20555
Bothell,WA,4196,47.80171,-122.18811
Sammamish,WA,3950,47.60113,-122.02857
Renton,WA,3516,47.47152,-122.16658
Olympia,WA,3228,47.03944,-122.87969
Tacoma,WA,2846,47.24479,-122.45108
Bellingham,WA,2281,48.75836,-122.46594
Issaquah,WA,2108,47.54022,-122.01986
Spokane,WA,1999,47.66779,-117.40036
"Mercer Island",WA,1943,47.5823,-122.23719
Kent,WA,1942,47.37842,-122.1856
Lynnwood,WA,1895,47.8434,-122.28797
Woodinville,WA,1873,47.75807,-122.14898
Everett,WA,1804,47.9348,-122.22172
Snohomish,WA,1567,47.89953,-122.12301
"Gig Harbor",WA,1525,47.33817,-122.59614
Shoreline,WA,1472,47.76606,-122.34854
Edmonds,WA,1460,47.80548,-122.35105
"Bainbridge Island",WA,1447,47.62933,-122.52358
Auburn,WA,1427,47.32428,-122.22327
Tukwila,WA,1405,47.44287,-122.28985
Camas,WA,1197,45.59009,-122.40556
"Maple Valley",WA,1053,47.35871,-122.05052
Seatac,WA,1048,47.4523,-122.31787
"Federal Way",WA,1044,47.31407,-122.34178
"Lake Stevens",WA,930,48.00435,-122.11206
Bremerton,WA,918,47.59061,-122.64271
Puyallup,WA,900,47.1538,-122.29111
Marysville,WA,836,48.07068,-122.17532
Kenmore,WA,799,47.76171,-122.25047
"Port Orchard",WA,763,47.51943,-122.66559
"Bonney Lake",WA,748,47.18062,-122.1838
Richland,WA,735,46.27984,-119.29211
Newcastle,WA,708,47.49328,-122.16734
Ridgefield,WA,701,45.81886,-122.74348
Lacey,WA,686,47.04682,-122.79898
Kennewick,WA,676,46.19385,-119.15824
Burien,WA,648,47.47832,-122.33227
Snoqualmie,WA,640,47.53562,-121.87475
Mukilteo,WA,601,47.94187,-122.29957
Monroe,WA,573,47.85674,-121.97222
Anacortes,WA,561,48.50127,-122.6153
Lakewood,WA,554,47.16766,-122.53532
"University Place",WA,551,47.22217,-122.53567
"North Bend",WA,546,47.49361,-121.78157
"Lake Forest Park",WA,539,47.75781,-122.3175
"Port Townsend",WA,534,48.11959,-122.76442
Poulsbo,WA,531,47.73752,-122.64161
Vashon,WA,531,47.44847,-122.45868
Tumwater,WA,507,47.03208,-122.90311
"Mill Creek",WA,500,47.82024,-122.1873
Yakima,WA,490,46.59324,-120.55238
"Mount Vernon",WA,490,48.41422,-122.33136
"Spokane Valley",WA,488,47.66562,-117.23026
Sequim,WA,479,48.08137,-123.09969
Duvall,WA,450,47.73705,-121.98083
Washougal,WA,444,45.58386,-122.35383
"Battle Ground",WA,438,45.77945,-122.53218
Arlington,WA,435,48.19485,-122.12324
Covington,WA,426,47.36078,-122.11162
Pasco,WA,418,46.23239,-119.0982
"South Hill",WA,417,47.12947,-122.2901
"Friday Harbor",WA,378,48.53135,-123.02226
"Des Moines",WA,377,47.4056,-122.32212
"Camano Island",WA,375,48.21928,-122.53109
"Oak Harbor",WA,356,48.28973,-122.67887
"Mountlake Terrace",WA,341,47.78416,-122.30842
"Port Angeles",WA,339,48.11295,-123.4378
Stanwood,WA,327,48.24107,-122.3678
Blaine,WA,319,48.99505,-122.74499
Wenatchee,WA,313,47.42255,-120.32009
Shelton,WA,309,47.21109,-123.1053
Spanaway,WA,292,47.1045,-122.43512
Carnation,WA,284,47.64947,-121.91245
Medina,WA,281,47.61598,-122.22803
Ferndale,WA,279,48.85324,-122.6011
"Clyde Hill",WA,278,47.61385,-122.20191
"Walla Walla",WA,276,46.06399,-118.34332
"Black Diamond",WA,270,47.31386,-122.0094
Silverdale,WA,269,47.66717,-122.67032
Longview,WA,268,46.13603,-122.94309
"Lake Tapps",WA,264,47.18062,-122.18381
Enumclaw,WA,254,47.20347,-121.98953
Eastsound,WA,246,48.70055,-122.90628
Edgewood,WA,245,47.19106,-122.29256
Graham,WA,238,47.0764,-122.29534
"Normandy Park",WA,233,47.46277,-122.33978
Kingston,WA,222,47.80132,-122.50282
"Brush Prairie",WA,220,45.73365,-122.55076
"Moses Lake",WA,215,47.12402,-119.25999
Ellensburg,WA,212,46.99346,-120.54513
Yelm,WA,204,46.94126,-122.61023
Langley,WA,203,48.03557,-122.40802
"East Wenatchee",WA,198,47.4176,-120.28674
Leavenworth,WA,191,47.59701,-120.66192
"Fall City",WA,190,47.56408,-121.89362
Pullman,WA,180,46.73088,-117.17912
Coupeville,WA,178,48.21784,-122.68128
"West Richland",WA,176,46.27785,-119.35359
Buckley,WA,173,47.16147,-122.02969
Brier,WA,171,47.81937,-122.31667
Clinton,WA,168,47.97966,-122.35936
Centralia,WA,165,46.71756,-122.96087
Lynden,WA,164,48.94612,-122.45845
Freeland,WA,164,48.03024,-122.54474
Chehalis,WA,161,46.66148,-122.96688
"Fox Island",WA,159,47.22541,-122.60668
"Cle Elum",WA,157,47.19538,-120.93829
"Liberty Lake",WA,155,47.66434,-117.09236
Steilacoom,WA,147,47.16766,-122.59771
"La Center",WA,145,45.86625,-122.67062
Dupont,WA,143,47.09746,-122.64381
Sumner,WA,135,47.20162,-122.23825
Sedro-Woolley,WA,133,48.50612,-122.234
Woodland,WA,129,45.92306,-122.73125
Burlington,WA,129,48.47476,-122.33079
"Yarrow Point",WA,129,47.61385,-122.2019
"Granite Falls",WA,127,48.08334,-121.96994
Chelan,WA,127,47.8399,-120.01587
Belfair,WA,125,47.44958,-122.85516
