Model_Year,Make,EV_Count
1997,CHEVROLET,1
1998,FORD,1
1999,FORD,4
2000,FORD,9
2002,TOYOTA,2
2003,TOYOTA,1
2008,TESLA,19
2010,TESLA,20
2010,"WHEEGO ELECTRIC CARS",3
2011,NISSAN,724
2011,CHEVROLET,75
2011,TESLA,7
2011,"AZURE DYNAMICS",5
2011,TH!NK,4
2012,NISSAN,593
2012,CHEVROLET,480
2012,TOYOTA,386
2012,TESLA,127
2012,MITSUBISHI,42
2012,FISKER,15
2012,FORD,11
2012,"AZURE DYNAMICS",3
2013,NISSAN,1944
2013,CHEVROLET,801
2013,TESLA,774
2013,FORD,635
2013,TOYOTA,307
2013,FIAT,107
2013,SMART,29
2014,CHEVROLET,724
2014,TESLA,658
2014,NISSAN,657
2014,FORD,620
2014,BMW,444
2014,TOYOTA,214
2014,FIAT,100
2014,SMART,69
2014,CADILLAC,59
2014,MERCEDES-BENZ,29
2014,MITSUBISHI,9
2014,PORSCHE,9
2014,HONDA,9
2015,NISSAN,1846
2015,TESLA,1072
2015,FORD,545
2015,CHEVROLET,473
2015,BMW,408
2015,FIAT,236
2015,VOLKSWAGEN,118
2015,TOYOTA,92
2015,SMART,54
2015,PORSCHE,36
2015,MERCEDES-BENZ,23
2015,KIA,22
2016,TESLA,1640
2016,NISSAN,1174
2016,FORD,780
2016,KIA,400
2016,BMW,386
2016,VOLKSWAGEN,328
2016,CHEVROLET,302
2016,AUDI,209
2016,FIAT,143
2016,VOLVO,109
2016,PORSCHE,75
2016,HYUNDAI,41
2016,MERCEDES-BENZ,36
2016,SMART,36
2016,CADILLAC,19
2016,MITSUBISHI,10
2017,CHEVROLET,2737
2017,TESLA,1660
2017,NISSAN,941
2017,TOYOTA,896
2017,BMW,676
2017,FORD,657
2017,KIA,207
2017,AUDI,191
2017,FIAT,157
2017,VOLVO,112
2017,CHRYSLER,94
2017,PORSCHE,70
2017,VOLKSWAGEN,54
2017,HYUNDAI,45
2017,MERCEDES-BENZ,44
2017,SMART,34
2017,CADILLAC,3
2017,MITSUBISHI,1
2018,TESLA,8039
2018,NISSAN,1228
2018,CHEVROLET,1150
2018,BMW,707
2018,TOYOTA,658
2018,HONDA,600
2018,CHRYSLER,548
2018,KIA,311
2018,VOLVO,227
2018,MITSUBISHI,189
2018,AUDI,174
2018,FORD,163
2018,PORSCHE,78
2018,MERCEDES-BENZ,54
2018,MINI,49
2018,FIAT,49
2018,SMART,48
2018,VOLKSWAGEN,37
2018,HYUNDAI,21
2018,CADILLAC,13
2019,TESLA,4749
2019,NISSAN,1381
2019,CHEVROLET,1000
2019,KIA,677
2019,VOLKSWAGEN,509
2019,AUDI,416
2019,BMW,300
2019,VOLVO,198
2019,TOYOTA,197
2019,MITSUBISHI,156
2019,FORD,147
2019,MERCEDES-BENZ,141
2019,HYUNDAI,126
2019,CHRYSLER,122
2019,JAGUAR,120
2019,MINI,100
2019,HONDA,82
2019,PORSCHE,70
2019,SUBARU,63
2019,FIAT,15
2019,SMART,7
2020,TESLA,7109
2020,CHEVROLET,954
2020,NISSAN,620
2020,KIA,515
2020,TOYOTA,329
2020,CHRYSLER,290
2020,AUDI,225
2020,HYUNDAI,211
2020,VOLVO,190
2020,PORSCHE,155
2020,BMW,142
2020,MITSUBISHI,95
2020,HONDA,80
2020,JAGUAR,75
2020,FORD,66
2020,MERCEDES-BENZ,33
2020,"LAND ROVER",31
2020,LINCOLN,28
2020,MINI,2
2020,BENTLEY,1
2021,TESLA,11238
2021,TOYOTA,993
2021,VOLKSWAGEN,983
2021,FORD,877
2021,VOLVO,635
2021,BMW,632
2021,JEEP,614
2021,AUDI,532
2021,CHRYSLER,487
2021,NISSAN,461
2021,CHEVROLET,357
2021,HYUNDAI,181
2021,PORSCHE,166
2021,MINI,139
2021,POLESTAR,105
2021,KIA,76
2021,LINCOLN,40
2021,HONDA,16
2021,"LAND ROVER",8
2021,MITSUBISHI,7
2021,JAGUAR,6
2021,BENTLEY,1
2022,TESLA,14191
2022,KIA,2087
2022,FORD,1749
2022,RIVIAN,1282
2022,VOLVO,963
2022,NISSAN,944
2022,CHEVROLET,937
2022,BMW,901
2022,VOLKSWAGEN,741
2022,JEEP,736
2022,HYUNDAI,637
2022,AUDI,609
2022,TOYOTA,546
2022,POLESTAR,366
2022,CHRYSLER,356
2022,MINI,222
2022,PORSCHE,210
2022,MERCEDES-BENZ,146
2022,LINCOLN,114
2022,LUCID,96
2022,MITSUBISHI,86
2022,LEXUS,44
2022,JAGUAR,19
2022,BENTLEY,1
2023,TESLA,10503
2023,CHEVROLET,1446
2023,BMW,1291
2023,JEEP,1265
2023,KIA,1196
2023,HYUNDAI,1133
2023,VOLVO,787
2023,VOLKSWAGEN,756
2023,NISSAN,636
2023,FORD,633
2023,RIVIAN,524
2023,AUDI,370
2023,CHRYSLER,340
2023,MERCEDES-BENZ,271
2023,TOYOTA,262
2023,MINI,222
2023,SUBARU,209
2023,POLESTAR,187
2023,MITSUBISHI,153
2023,PORSCHE,83
2023,GENESIS,67
2023,LUCID,45
2023,LEXUS,35
2023,LINCOLN,30
2023,CADILLAC,26
2023,"LAND ROVER",4
2023,JAGUAR,2
2024,MAZDA,12
2024,MINI,8
2024,BMW,8
2024,AUDI,1
2024,LEXUS,1
