Fuel_Type_Code,Station_Name,Street_Address,Intersection_Directions,City,State,ZIP,Plus4,Station_Phone,Status_Code,Expected_Date,Groups_With_Access_Code,Access_Days_Time,Cards_Accepted,BD_Blends,NG_Fill_Type_Code,NG_PSI,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,EV_Other_Info,EV_Network,EV_Network_Web,Geocode_Status,Latitude,Longitude,Date_Last_Confirmed,ID,Updated_At,Owner_Type_Code,Federal_Agency_ID,Federal_Agency_Name,Open_Date,Hydrogen_Status_Link,NG_Vehicle _Class,LPG_Primary,E85_Blender_Pump,EV_Connector_Types,Country,Intersection_Directions_(French),Access_Days_Time(French),BD_Blends(French),Groups_With_Access_Code(French),Hydrogen_Is_Retail,Access_Code,Access DetailCode,Federal_Agency_Code,Facility_Type,CNG_Dispenser_Num,CNG_On-Site_Renewable_Source,CNG_Total_Compression_Capacity,CNG_Storage_Capacity,LNG_On-Site_Renewable_Source,E85_Other_Ethanol_Blends,EV_Pricing,EV_Pricing(French),LPG_Nozzle_Types,Hydrogen_Pressures,Hydrogen_Standards,CNG_Fill_Type_Code,CNG_PSI,CNG_Vehicle_Class,LNG_Vehicle_Class,EV_On-Site_Renewable_Source,Restricted_Access,RD_Blends,RD_Blends(French),RD_Blended_with_Biodiesel,RD_Maximum_Biodiesel_Level,NPS_Unit_Name,CNG_Station_Sells_Renewable_Natural_Gas,LNG_Station _Sells _Renewable_Natural_Gas,Maximum_Vehicle_Class,EV_Workplace_Charging,Funding_Sources
ELEC,LADWP - Truesdale Center,11797 Truesdale St,NULL,Sun Valley,CA,91352,,,E,,Private,Fleet use only,,,,,,57,2,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,34.24831915,-118.3879714,2023-09-14,1517,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,5:30am-9pm; pay lot,,,,,,7,,,Non-Networked,,GPS,34.040539,-118.271387,2023-01-10,1523,2023-02-14 15:54:11 UTC,P,,,1995-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free; parking fee,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,LADWP - John Ferraro Building,111 N Hope St,Across Hope,Los Angeles,CA,90012,,,E,,Private,For fleet and employee use only,,,,,,338,12,,Non-Networked,,GPS,34.059133,-118.248589,2023-09-14,1525,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,LADWP - Haynes Power Plant,6801 E 2nd St,NULL,Long Beach,CA,90803,,,E,,Private,Fleet use only,,,,,,19,1,,Non-Networked,,GPS,33.759802,-118.096665,2024-01-09,1531,2025-08-18 15:54:31 UTC,LG,,,2018-05-01,,,,,CHADEMO J1772 J1772COMBO,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,LADWP - Harbor Generating Station,161 N Island Ave,At B St,Wilmington,CA,90744,,,E,,Private,Fleet use only,,,,,,10,,,Non-Networked,,200-8,33.770508,-118.265628,2024-01-09,1552,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,LADWP - Sylmar West,13201 Sepulveda Blvd,NULL,Sylmar,CA,91342,,,E,,Private - Government only,Fleet use only,,,,,,2,,,Non-Networked,,200-8,34.30309,-118.480505,2024-01-09,1556,2025-08-18 15:54:31 UTC,LG,,,2016-01-01,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,LADWP - EV Service Center,1630 N Main St,NULL,Los Angeles,CA,90012,,,E,,Private,Fleet and employee use only,,,,,,46,1,,Non-Networked,,200-8,34.066801,-118.227605,2024-01-09,1572,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,CHADEMO J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,LADWP - Fairfax Center,2311 S Fairfax Ave,NULL,Los Angeles,CA,90016,,,E,,Private,Fleet use only,,,,,,13,,,Non-Networked,,200-8,34.036777,-118.368841,2024-01-09,1573,2025-08-18 15:54:31 UTC,LG,,,2019-04-01,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,LADWP - Palmetto Center,1212 Palmetto St,NULL,Los Angeles,CA,90013,,,E,,Private,Fleet use only,,,,,,27,,,Non-Networked,,GPS,34.039736,-118.236065,2023-09-14,1589,2025-08-18 15:54:31 UTC,LG,,,1999-10-15,,,,,J1772,US,,,,Privé,,private,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,
ELEC,Scripps Green Hospital,10666 N Torrey Pines Rd,"Patient Parking Structure, level G",La Jolla,CA,92037,,,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,GPS,32.89947,-117.243,2024-08-15,6355,2025-02-12 00:16:32 UTC,P,,,1997-07-30,,,,,J1772,US,,,,Public,,public,,,HOSPITAL,,,,,,,Free; parking fee,,,,,,,,,,FALSE,,,,,,,,,FALSE,
